<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.09.09	6547.33	6555.86	6508.76	6530.74	7762	0	0
2013.09.10	6530.74	6599.51	6530.74	6583.99	8430	0	0
2013.09.11	6583.99	6589.85	6559.72	6588.43	5583	0	0
2013.09.12	6588.43	6606.12	6558.61	6588.98	9448	0	0
2013.09.13	6588.98	6588.98	6561.78	6583.80	4923	0	0
2013.09.16	6583.80	6652.66	6583.80	6622.86	9867	0	0
2013.09.17	6622.86	6623.04	6570.17	6570.17	5306	0	0
2013.09.18	6570.17	6587.58	6532.50	6558.82	9882	0	0
2013.09.19	6558.82	6659.12	6558.82	6625.39	13404	0	0
2013.09.20	6625.39	6629.93	6594.17	6596.43	4257	0	0
2013.09.23	6596.43	6601.53	6542.67	6557.37	7867	0	0
2013.09.24	6557.37	6585.40	6549.92	6571.46	5688	0	0
2013.09.25	6571.46	6587.97	6526.42	6551.53	10318	0	0
2013.09.26	6551.53	6580.94	6535.78	6565.59	7627	0	0
2013.09.27	6565.59	6568.94	6487.30	6512.66	11036	0	0
2013.09.30	6512.66	6512.66	6438.72	6462.22	9745	0	0
2013.10.01	6462.22	6466.30	6424.37	6460.01	8166	0	0
2013.10.02	6460.01	6460.01	6386.18	6437.50	12516	0	0
2013.10.03	6437.50	6472.43	6436.21	6449.04	6091	0	0
2013.10.04	6449.04	6473.58	6428.96	6453.88	8441	0	0
2013.10.07	6453.88	6453.88	6391.47	6437.28	10823	0	0
2013.10.08	6437.28	6437.73	6364.97	6365.83	7408	0	0
2013.10.09	6365.83	6372.63	6316.91	6337.91	8353	0	0
2013.10.10	6337.91	6446.22	6337.91	6430.49	12405	0	0
2013.10.11	6430.49	6489.16	6430.47	6487.19	6069	0	0
2013.10.14	6487.19	6507.80	6464.44	6507.65	6627	0	0
2013.10.15	6507.65	6569.28	6507.65	6549.11	8181	0	0
2013.10.16	6549.11	6584.39	6504.27	6571.59	13777	0	0
2013.10.17	6571.59	6576.16	6529.16	6576.16	8944	0	0
2013.10.18	6576.16	6622.70	6576.16	6622.58	4667	0	0
2013.10.21	6622.58	6654.20	6617.81	6654.20	4117	0	0
2013.10.22	6654.20	6719.27	6653.70	6695.66	8969	0	0
2013.10.23	6695.66	6695.92	6655.20	6674.48	6027	0	0
2013.10.24	6674.48	6719.25	6674.16	6713.18	5149	0	0
2013.10.25	6713.18	6729.74	6700.37	6721.34	5059	0	0
2013.10.28	6721.34	6739.66	6704.15	6725.82	6655	0	0
2013.10.29	6725.82	6777.16	6718.85	6774.73	6772	0	0
2013.10.30	6774.73	6819.86	6763.66	6777.70	10944	0	0
2013.10.31	6777.70	6778.27	6719.51	6731.43	7126	0	0
2013.11.01	6731.43	6760.87	6715.30	6734.74	8784	0	0
2013.11.04	6734.74	6780.11	6734.56	6763.62	6223	0	0
2013.11.05	6763.62	6773.86	6708.52	6746.84	11391	0	0
2013.11.06	6746.84	6768.16	6735.64	6741.69	5990	0	0
2013.11.07	6741.69	6779.18	6679.99	6697.22	15392	0	0
2013.11.08	6697.22	6713.90	6643.86	6708.42	12889	0	0
2013.11.11	6708.42	6744.77	6702.01	6728.37	6558	0	0
2013.11.12	6728.37	6728.37	6693.26	6726.79	6865	0	0
2013.11.13	6726.79	6726.81	6613.98	6630.00	12888	0	0
2013.11.14	6630.00	6696.16	6630.00	6666.13	9620	0	0
2013.11.15	6666.13	6703.12	6665.45	6693.44	4804	0	0
2013.11.18	6693.44	6732.10	6671.63	6723.46	9093	0	0
2013.11.19	6723.46	6723.46	6677.85	6698.01	6578	0	0
2013.11.20	6698.01	6711.42	6661.70	6681.08	8252	0	0
2013.11.21	6681.08	6697.69	6643.47	6681.33	10820	0	0
2013.11.22	6681.33	6711.03	6661.04	6674.30	9296	0	0
2013.11.25	6674.30	6709.08	6674.30	6694.62	4925	0	0
2013.11.26	6694.62	6696.95	6636.22	6636.22	6307	0	0
2013.11.27	6636.22	6664.14	6635.71	6649.47	4362	0	0
2013.11.28	6649.47	6679.51	6642.57	6654.47	6889	0	0
2013.11.29	6654.47	6681.57	6648.53	6650.57	6219	0	0
2013.12.02	6650.57	6657.41	6595.20	6595.33	6919	0	0
2013.12.03	6595.33	6595.48	6531.34	6532.43	6539	0	0
2013.12.04	6532.43	6544.70	6479.73	6509.97	10749	0	0
2013.12.05	6509.97	6518.88	6487.15	6498.33	5183	0	0
2013.12.06	6498.33	6555.73	6496.33	6551.99	6515	0	0
2013.12.09	6551.99	6568.44	6534.74	6559.48	5992	0	0
2013.12.10	6559.48	6571.91	6519.00	6523.31	6966	0	0
2013.12.11	6523.31	6555.57	6507.72	6507.72	8012	0	0
2013.12.12	6507.72	6507.72	6435.99	6445.25	8100	0	0
2013.12.13	6445.25	6462.76	6433.51	6439.96	5322	0	0
2013.12.16	6439.96	6531.16	6422.23	6522.20	13563	0	0
2013.12.17	6522.20	6522.20	6482.59	6486.19	4322	0	0
2013.12.18	6486.19	6524.46	6486.19	6492.08	7066	0	0
2013.12.19	6492.08	6584.70	6492.08	6584.70	9263	0	0
2013.12.20	6584.70	6616.80	6576.79	6606.58	5815	0	0
2013.12.23	6606.58	6678.61	6606.20	6678.61	7280	0	0
2013.12.24	6678.61	6712.10	6672.22	6694.17	6421	0	0
2013.12.27	6694.17	6754.11	6694.17	6750.87	6319	0	0
2013.12.30	6750.87	6768.44	6718.16	6731.27	8097	0	0
2013.12.31	6731.27	6756.98	6731.25	6749.09	3365	0	0
2014.01.02	6749.09	6759.37	6707.48	6717.91	7261	0	0
2014.01.03	6717.91	6747.33	6699.27	6730.67	8337	0	0
2014.01.06	6730.67	6751.98	6714.64	6730.73	7463	0	0
2014.01.07	6730.73	6768.89	6718.07	6755.45	7693	0	0
2014.01.08	6755.45	6755.53	6713.39	6721.78	5062	0	0
2014.01.09	6721.78	6746.41	6679.31	6691.34	10377	0	0
2014.01.10	6691.34	6769.94	6691.34	6739.94	10861	0	0
2014.01.13	6739.94	6765.60	6730.97	6757.15	5206	0	0
2014.01.14	6757.15	6772.63	6694.08	6766.86	14740	0	0
2014.01.15	6766.86	6825.20	6766.86	6819.86	6369	0	0
2014.01.16	6819.86	6831.74	6811.16	6815.42	3673	0	0
2014.01.17	6815.42	6840.50	6800.00	6829.30	6713	0	0
2014.01.20	6829.30	6837.53	6810.62	6836.73	4640	0	0
2014.01.21	6836.73	6867.42	6822.31	6834.26	8776	0	0
2014.01.22	6834.26	6864.87	6821.80	6826.33	7822	0	0
2014.01.23	6826.33	6837.21	6760.63	6773.28	10012	0	0
2014.01.24	6773.28	6784.42	6654.86	6663.74	14959	0	0
2014.01.27	6663.74	6665.39	6539.33	6550.66	13905	0	0
2014.01.28	6550.66	6590.66	6550.65	6572.33	5836	0	0
2014.01.29	6572.33	6645.23	6482.74	6544.28	29694	0	0
2014.01.30	6544.28	6573.92	6503.25	6538.45	13552	0	0
2014.01.31	6538.45	6548.46	6421.26	6510.44	22640	0	0
2014.02.03	6510.44	6538.30	6459.95	6465.66	11193	0	0
2014.02.04	6465.66	6478.16	6416.72	6449.27	10650	0	0
2014.02.05	6449.27	6483.73	6423.79	6457.89	11127	0	0
2014.02.06	6457.89	6566.01	6457.89	6558.28	11586	0	0
2014.02.07	6558.28	6596.28	6540.81	6571.68	9755	0	0
2014.02.10	6571.68	6597.00	6565.30	6591.55	4354	0	0
2014.02.11	6591.55	6672.66	6591.55	6672.66	8112	0	0
2014.02.12	6672.66	6708.17	6669.06	6675.03	7586	0	0
2014.02.13	6675.03	6675.24	6608.09	6659.42	11870	0	0
2014.02.14	6659.42	6672.21	6646.47	6663.62	4729	0	0
2014.02.17	6663.62	6745.63	6661.47	6736.00	9595	0	0
2014.02.18	6736.00	6802.89	6716.64	6796.43	11208	0	0
2014.02.19	6796.43	6810.48	6759.86	6796.71	10097	0	0
2014.02.20	6796.71	6812.99	6732.03	6812.99	14565	0	0
2014.02.21	6812.99	6859.91	6812.99	6838.06	6878	0	0
2014.02.24	6838.06	6865.86	6797.83	6865.86	10827	0	0
2014.02.25	6862.73	6866.35	6790.93	6830.50	11862	0	0
2014.02.26	6830.50	6834.09	6785.28	6799.15	6628	0	0
2014.02.27	6799.15	6819.24	6733.54	6810.27	16029	0	0
2014.02.28	6810.27	6833.82	6785.54	6809.70	9600	0	0
2014.03.03	6809.70	6809.70	6671.89	6708.35	17428	0	0
2014.03.04	6708.35	6827.22	6708.35	6823.77	12233	0	0
2014.03.05	6823.77	6824.16	6771.50	6775.42	5698	0	0
2014.03.06	6775.42	6806.62	6770.95	6788.49	5828	0	0
2014.03.07	6788.49	6800.66	6706.38	6712.67	11275	0	0
2014.03.10	6712.67	6757.00	6671.62	6689.45	14755	0	0
2014.03.11	6689.45	6718.30	6660.59	6685.52	11150	0	0
2014.03.12	6685.52	6685.52	6598.36	6620.90	10971	0	0
2014.03.13	6620.90	6631.38	6552.46	6553.78	9073	0	0
2014.03.14	6553.78	6553.78	6500.37	6527.89	8094	0	0
2014.03.17	6527.89	6592.37	6527.87	6568.35	8855	0	0
2014.03.18	6568.35	6628.20	6534.86	6605.28	14976	0	0
2014.03.19	6605.28	6609.46	6566.85	6573.13	5308	0	0
2014.03.20	6573.13	6573.13	6492.62	6542.44	13034	0	0
2014.03.21	6542.44	6572.09	6537.89	6557.17	5368	0	0
2014.03.24	6557.17	6568.96	6506.42	6520.39	8831	0	0
2014.03.25	6520.39	6604.89	6520.39	6604.89	8451	0	0
2014.03.26	6604.89	6643.58	6601.78	6605.30	8320	0	0
2014.03.27	6605.30	6605.30	6561.39	6588.32	7085	0	0
2014.03.28	6588.32	6631.48	6585.73	6615.58	6425	0	0
2014.03.31	6615.58	6658.40	6583.09	6598.37	13342	0	0
2014.04.01	6598.37	6660.27	6598.37	6652.61	6957	0	0
2014.04.02	6652.61	6672.73	6639.63	6659.04	5978	0	0
2014.04.03	6659.04	6680.78	6638.52	6649.14	7463	0	0
2014.04.04	6649.14	6706.34	6649.14	6695.55	6800	0	0
2014.04.07	6695.55	6695.55	6614.73	6622.84	8894	0	0
2014.04.08	6622.84	6625.19	6549.75	6590.69	11874	0	0
2014.04.09	6590.69	6654.05	6590.41	6635.61	8237	0	0
2014.04.10	6635.61	6688.28	6620.39	6641.97	12943	0	0
2014.04.11	6641.97	6641.97	6538.75	6561.70	12618	0	0
2014.04.14	6561.70	6583.76	6507.08	6583.76	13131	0	0
2014.04.15	6583.76	6594.24	6534.20	6541.61	7794	0	0
2014.04.16	6541.61	6596.99	6541.61	6584.17	6821	0	0
2014.04.17	6584.17	6627.25	6559.35	6625.25	9473	0	0
2014.04.22	6625.25	6706.19	6625.25	6681.76	10538	0	0
2014.04.23	6681.76	6694.82	6661.42	6674.74	5979	0	0
2014.04.24	6674.74	6724.58	6667.65	6703.00	8561	0	0
2014.04.25	6703.00	6704.37	6657.30	6685.69	7684	0	0
2014.04.28	6685.69	6720.33	6682.90	6700.16	6040	0	0
2014.04.29	6700.16	6769.91	6700.10	6769.91	6988	0	0
2014.04.30	6769.91	6794.88	6748.76	6780.03	8213	0	0
2014.05.01	6780.03	6811.64	6773.69	6808.87	4707	0	0
2014.05.02	6808.87	6838.17	6798.61	6822.42	6558	0	0
2014.05.06	6822.42	6828.62	6785.32	6798.56	6275	0	0
2014.05.07	6798.56	6799.34	6766.84	6796.44	6289	0	0
2014.05.08	6796.44	6840.37	6796.44	6839.25	4506	0	0
2014.05.09	6839.25	6839.42	6805.39	6814.57	4339	0	0
2014.05.12	6814.57	6851.75	6814.57	6851.75	3719	0	0
2014.05.13	6851.75	6877.39	6845.95	6873.08	4156	0	0
2014.05.14	6873.08	6880.07	6854.02	6878.49	4670	0	0
2014.05.15	6878.49	6894.88	6821.66	6840.89	10885	0	0
2014.05.16	6840.89	6855.94	6813.50	6855.81	6997	0	0
2014.05.19	6855.81	6862.20	6804.31	6844.55	10453	0	0
2014.05.20	6844.55	6848.36	6792.51	6802.00	6916	0	0
2014.05.21	6802.00	6821.04	6782.80	6821.04	5745	0	0
2014.05.22	6821.04	6846.57	6810.19	6820.56	7229	0	0
2014.05.23	6820.56	6825.53	6793.47	6815.75	5932	0	0
2014.05.27	6815.75	6857.10	6815.37	6844.94	5428	0	0
2014.05.28	6844.94	6855.83	6833.61	6851.22	3817	0	0
2014.05.29	6851.22	6882.14	6848.06	6871.29	4810	0	0
2014.05.30	6871.29	6874.33	6831.99	6844.51	5791	0	0
2014.06.02	6844.51	6874.38	6844.51	6864.10	4016	0	0
2014.06.03	6864.10	6865.38	6817.96	6836.30	6705	0	0
2014.06.04	6836.30	6840.60	6800.10	6818.63	6334	0	0
2014.06.05	6818.63	6847.00	6795.27	6813.49	9833	0	0
2014.06.06	6813.49	6862.91	6813.49	6858.21	5413	0	0
2014.06.09	6858.21	6878.96	6857.70	6875.00	2574	0	0
2014.06.10	6875.00	6875.24	6835.80	6873.55	7744	0	0
2014.06.11	6873.55	6873.55	6825.24	6838.87	6195	0	0
2014.06.12	6838.87	6853.18	6827.03	6843.11	4807	0	0
2014.06.13	6843.11	6843.11	6758.15	6777.85	10467	0	0
2014.06.16	6777.85	6779.40	6748.04	6754.64	3952	0	0
2014.06.17	6754.64	6774.87	6736.11	6766.77	6540	0	0
2014.06.18	6766.77	6799.59	6766.77	6778.56	5386	0	0
2014.06.19	6778.56	6837.57	6778.56	6808.11	8848	0	0
2014.06.20	6808.11	6840.62	6791.20	6825.20	8176	0	0
2014.06.23	6825.20	6829.76	6785.83	6800.56	6323	0	0
2014.06.24	6800.56	6824.45	6776.80	6787.07	8182	0	0
2014.06.25	6787.07	6787.07	6716.35	6733.62	8800	0	0
2014.06.26	6733.62	6753.25	6701.59	6735.12	10183	0	0
2014.06.27	6735.12	6767.63	6735.12	6757.77	4238	0	0
2014.06.30	6757.77	6777.11	6730.45	6743.94	7950	0	0
2014.07.01	6743.94	6805.90	6743.94	6802.92	6495	0	0
2014.07.02	6802.92	6829.49	6796.61	6816.37	5232	0	0
2014.07.03	6816.37	6866.56	6815.45	6865.21	5339	0	0
2014.07.04	6865.21	6875.31	6856.35	6866.05	3709	0	0
2014.07.07	6866.05	6866.37	6817.60	6823.51	5501	0	0
2014.07.08	6823.51	6831.02	6738.45	6738.45	10009	0	0
2014.07.09	6738.45	6740.82	6692.77	6718.04	7570	0	0
2014.07.10	6718.04	6724.80	6643.62	6672.37	11670	0	0
2014.07.11	6672.37	6696.10	6663.67	6690.17	4707	0	0
2014.07.14	6690.17	6760.73	6690.17	6746.14	8516	0	0
2014.07.15	6746.14	6764.00	6709.15	6710.45	7402	0	0
2014.07.16	6710.45	6792.55	6710.45	6784.67	8999	0	0
2014.07.17	6784.67	6784.67	6727.71	6738.32	6758	0	0
2014.07.18	6738.32	6749.89	6690.90	6749.45	10686	0	0
2014.07.21	6749.45	6753.42	6715.78	6728.44	5428	0	0
2014.07.22	6728.44	6801.84	6728.44	6795.34	7991	0	0
2014.07.23	6795.34	6822.65	6773.11	6798.15	9628	0	0
2014.07.24	6798.15	6821.46	6767.33	6821.46	8496	0	0
2014.07.25	6821.46	6830.77	6780.65	6791.55	7034	0	0
2014.07.28	6791.55	6809.61	6761.77	6788.07	9221	0	0
2014.07.29	6788.07	6833.67	6784.04	6807.75	7959	0	0
2014.07.30	6807.75	6815.29	6758.24	6773.44	7980	0	0
2014.07.31	6773.44	6797.09	6716.29	6730.11	11828	0	0
2014.08.01	6730.11	6730.11	6624.72	6679.18	15986	0	0
2014.08.04	6679.18	6715.56	6669.93	6677.52	8961	0	0
2014.08.05	6677.52	6713.52	6671.46	6682.48	7917	0	0
2014.08.06	6682.48	6682.48	6588.43	6636.16	14179	0	0
2014.08.07	6636.16	6649.05	6589.78	6597.37	7976	0	0
2014.08.08	6597.37	6597.37	6528.73	6567.36	10728	0	0
2014.08.11	6567.36	6645.83	6567.36	6632.82	9149	0	0
2014.08.12	6632.82	6643.70	6612.52	6632.42	6197	0	0
2014.08.13	6632.42	6664.34	6625.98	6656.68	5247	0	0
2014.08.14	6656.68	6694.64	6641.81	6685.26	7709	0	0
2014.08.15	6685.26	6742.82	6685.25	6689.08	11133	0	0
2014.08.18	6689.08	6745.72	6689.08	6741.25	6112	0	0
2014.08.19	6741.25	6782.90	6740.65	6779.31	4645	0	0
2014.08.20	6779.31	6781.23	6739.76	6755.48	5912	0	0
2014.08.21	6755.48	6780.73	6752.70	6777.66	3389	0	0
2014.08.22	6777.66	6784.63	6746.37	6775.25	7412	0	0
2014.08.26	6775.25	6827.32	6775.25	6822.76	5664	0	0
2014.08.27	6822.76	6830.66	6813.24	6830.66	2695	0	0
2014.08.28	6830.66	6831.19	6796.86	6805.80	4381	0	0
2014.08.29	6805.80	6828.92	6782.63	6819.75	7864	0	0
2014.09.01	6819.75	6825.31	6798.33	6825.31	4841	0	0
2014.09.02	6825.31	6849.28	6812.31	6829.17	7009	0	0
2014.09.03	6829.17	6898.62	6826.73	6873.58	9938	0	0
2014.09.04	6873.58	6904.86	6866.25	6877.97	7284	0	0
2014.09.05	6877.97	6884.96	6829.10	6855.10	8886	0	0
2014.09.08	6855.10	6855.10	6773.78	6834.77	14232	0	0
2014.09.09	6834.77	6846.18	6812.50	6829.00	6160	0	0
2014.09.10	6829.00	6847.79	6800.04	6830.11	9440	0	0
2014.09.11	6830.11	6857.54	6764.86	6799.62	15488	0	0
2014.09.12	6799.62	6832.16	6799.39	6806.96	5821	0	0
2014.09.15	6806.96	6813.87	6771.69	6804.21	8162	0	0
2014.09.16	6804.21	6804.34	6748.09	6792.24	10054	0	0
2014.09.17	6792.24	6816.89	6780.90	6780.90	6065	0	0
2014.09.18	6780.90	6822.60	6769.58	6819.29	6766	0	0
2014.09.19	6819.29	6876.00	6819.29	6837.92	9480	0	0
2014.09.22	6837.92	6838.35	6766.89	6773.63	7864	0	0
2014.09.23	6773.63	6777.27	6647.21	6676.08	16258	0	0
2014.09.24	6676.08	6707.26	6651.98	6706.27	8038	0	0
2014.09.25	6706.27	6726.40	6621.48	6639.71	14329	0	0
2014.09.26	6639.71	6664.00	6615.12	6649.39	8809	0	0
2014.09.29	6649.39	6653.94	6608.66	6646.60	8778	0	0
2014.09.30	6646.60	6658.91	6601.62	6622.72	9071	0	0
2014.10.01	6622.72	6622.81	6539.73	6557.52	10097	0	0
2014.10.02	6557.52	6557.67	6446.39	6446.39	11144	0	0
2014.10.03	6446.39	6542.87	6446.39	6527.91	11145	0	0
2014.10.06	6527.91	6588.31	6527.91	6563.65	8507	0	0
2014.10.07	6563.65	6563.84	6495.58	6495.58	6846	0	0
2014.10.08	6495.58	6502.36	6453.81	6482.24	8377	0	0
2014.10.09	6482.24	6544.21	6425.16	6431.85	18772	0	0
2014.10.10	6431.85	6431.85	6328.39	6339.97	11505	0	0
2014.10.13	6339.97	6387.36	6294.64	6366.24	15918	0	0
2014.10.14	6366.24	6403.43	6304.27	6392.68	17189	0	0
2014.10.15	6392.68	6404.96	6211.64	6211.64	20561	0	0
2014.10.16	6211.64	6282.95	6072.68	6195.91	40482	0	0
2014.10.17	6195.91	6312.97	6188.04	6310.29	13549	0	0
2014.10.20	6310.29	6320.31	6238.60	6267.07	12021	0	0
2014.10.21	6267.07	6372.33	6229.40	6372.33	18061	0	0
2014.10.22	6372.33	6401.51	6341.39	6399.73	9285	0	0
2014.10.23	6399.73	6430.32	6313.32	6419.15	21459	0	0
2014.10.24	6419.15	6419.15	6372.43	6388.73	6303	0	0
2014.10.27	6388.73	6443.76	6336.06	6363.46	19014	0	0
2014.10.28	6363.46	6412.00	6363.46	6402.17	5838	0	0
2014.10.29	6402.17	6475.35	6402.17	6453.87	9467	0	0
2014.10.30	6453.87	6483.24	6378.15	6463.55	20051	0	0
2014.10.31	6463.55	6553.37	6463.55	6546.47	9673	0	0
2014.11.03	6546.47	6559.56	6478.49	6487.97	10365	0	0
2014.11.04	6487.97	6510.31	6444.89	6453.97	9685	0	0
2014.11.05	6453.97	6539.14	6453.97	6539.14	8518	0	0
2014.11.06	6539.14	6580.21	6503.81	6551.15	14080	0	0
2014.11.07	6551.15	6608.23	6551.15	6567.24	9808	0	0
2014.11.10	6567.24	6611.25	6566.78	6611.25	4494	0	0
2014.11.11	6611.25	6632.57	6605.34	6627.40	3832	0	0
2014.11.12	6627.40	6629.33	6588.93	6611.04	6445	0	0
2014.11.13	6611.04	6645.90	6596.89	6635.45	7362	0	0
2014.11.14	6635.45	6654.37	6610.13	6654.37	6957	0	0
2014.11.17	6654.37	6681.55	6616.12	6671.97	11327	0	0
2014.11.18	6671.97	6714.12	6671.75	6709.13	4759	0	0
2014.11.19	6709.13	6718.88	6678.13	6696.60	6898	0	0
2014.11.20	6696.60	6696.82	6641.14	6678.90	9367	0	0
2014.11.21	6678.90	6773.14	6678.90	6750.76	11663	0	0
2014.11.24	6750.76	6763.97	6720.09	6729.79	6680	0	0
2014.11.25	6729.79	6750.87	6709.31	6731.14	8178	0	0
2014.11.26	6731.14	6765.01	6718.53	6729.17	9100	0	0
2014.11.27	6729.17	6749.91	6713.76	6723.42	6656	0	0
2014.11.28	6723.42	6734.71	6667.08	6722.62	13447	0	0
2014.12.01	6722.62	6722.62	6637.39	6656.37	10422	0	0
2014.12.02	6656.37	6744.31	6656.37	6742.10	9016	0	0
2014.12.03	6742.10	6753.19	6713.81	6716.63	5330	0	0
2014.12.04	6716.63	6733.96	6672.67	6679.37	8533	0	0
2014.12.05	6679.37	6751.32	6679.37	6742.84	8044	0	0
2014.12.08	6742.84	6742.84	6672.15	6672.15	7070	0	0
2014.12.09	6672.15	6672.15	6529.47	6529.47	14269	0	0
2014.12.10	6529.47	6565.77	6500.04	6500.04	10204	0	0
2014.12.11	6500.04	6521.66	6441.28	6461.70	12243	0	0
2014.12.12	6461.70	6461.70	6297.44	6300.63	16746	0	0
2014.12.15	6300.63	6356.34	6182.72	6182.72	22934	0	0
2014.12.16	6182.72	6331.83	6144.72	6331.83	22512	0	0
2014.12.17	6331.83	6359.68	6240.32	6336.48	23408	0	0
2014.12.18	6336.48	6466.00	6336.48	6466.00	12953	0	0
2014.12.19	6466.00	6566.90	6466.00	6545.27	12254	0	0
2014.12.22	6545.27	6620.95	6545.27	6576.74	11990	0	0
2014.12.23	6576.74	6620.47	6576.74	6598.18	6603	0	0
2014.12.24	6598.18	6618.09	6586.05	6609.93	5234	0	0
2014.12.29	6609.93	6651.96	6587.87	6633.51	10461	0	0
2014.12.30	6633.51	6633.51	6528.89	6547.00	12274	0	0
2014.12.31	6547.00	6578.24	6547.00	6566.09	4340	0	0
2015.01.02	6566.09	6607.89	6510.60	6547.80	17630	0	0
2015.01.05	6547.80	6576.74	6404.49	6417.16	21387	0	0
2015.01.06	6417.16	6452.66	6328.59	6366.51	19750	0	0
2015.01.07	6366.51	6459.74	6366.51	6419.83	13315	0	0
2015.01.08	6419.83	6580.82	6419.83	6569.96	17186	0	0
2015.01.09	6569.96	6570.24	6471.38	6501.14	12891	0	0
2015.01.12	6501.14	6542.43	6447.91	6501.42	18877	0	0
2015.01.13	6501.42	6558.83	6465.19	6542.20	14651	0	0
2015.01.14	6542.20	6542.20	6353.65	6388.46	22337	0	0
2015.01.15	6388.46	6498.78	6298.15	6498.78	29095	0	0
2015.01.16	6498.78	6553.20	6443.28	6550.27	16836	0	0
2015.01.19	6550.27	6598.89	6548.00	6585.53	6653	0	0
2015.01.20	6585.53	6640.44	6585.53	6620.10	7526	0	0
2015.01.21	6620.10	6728.04	6620.10	6728.04	10795	0	0
2015.01.22	6728.04	6808.18	6726.24	6796.63	9530	0	0
2015.01.23	6796.63	6841.73	6796.58	6832.83	5411	0	0
2015.01.26	6832.83	6855.92	6790.13	6852.40	11202	0	0
2015.01.27	6852.40	6864.97	6773.54	6811.61	14208	0	0
2015.01.28	6811.61	6863.00	6777.08	6825.94	15752	0	0
2015.01.29	6825.94	6825.94	6750.22	6810.60	13611	0	0
2015.01.30	6810.60	6843.98	6749.40	6749.40	12797	0	0
2015.02.02	6749.40	6795.52	6731.99	6782.55	9392	0	0
2015.02.03	6782.55	6886.31	6782.39	6871.80	11860	0	0
2015.02.04	6871.80	6883.49	6804.10	6860.02	14701	0	0
2015.02.05	6860.02	6870.10	6808.19	6865.93	11792	0	0
2015.02.06	6865.93	6886.22	6835.48	6853.44	8900	0	0
2015.02.09	6853.44	6853.44	6777.99	6837.15	13462	0	0
2015.02.10	6837.15	6843.90	6788.89	6829.12	10200	0	0
2015.02.11	6829.12	6838.33	6786.12	6818.17	9348	0	0
2015.02.12	6818.17	6854.62	6817.23	6828.11	6485	0	0
2015.02.13	6828.11	6887.57	6828.11	6873.52	7352	0	0
2015.02.16	6873.52	6878.66	6851.77	6857.05	3732	0	0
2015.02.17	6857.05	6898.13	6819.78	6898.13	11563	0	0
2015.02.18	6898.13	6921.32	6876.30	6898.08	9000	0	0
2015.02.19	6898.08	6907.30	6858.67	6888.90	8809	0	0
2015.02.20	6888.90	6920.51	6884.77	6915.20	4519	0	0
2015.02.23	6915.20	6943.61	6885.89	6912.16	11241	0	0
2015.02.24	6912.16	6958.89	6899.59	6949.63	8114	0	0
2015.02.25	6949.63	6955.41	6904.88	6935.38	8682	0	0
2015.02.26	6935.38	6949.98	6920.54	6949.73	4454	0	0
2015.02.27	6949.73	6967.24	6929.84	6946.66	7174	0	0
2015.03.02	6946.66	6974.26	6924.33	6940.64	9385	0	0
2015.03.03	6940.64	6963.55	6889.13	6889.13	9734	0	0
2015.03.04	6889.13	6919.24	6862.87	6919.24	8264	0	0
2015.03.05	6919.24	6968.64	6914.06	6961.14	6727	0	0
2015.03.06	6961.14	6961.23	6911.80	6911.80	4953	0	0
2015.03.09	6911.80	6911.80	6859.81	6876.47	6866	0	0
2015.03.10	6876.47	6876.86	6702.84	6702.84	51690	0	0
2015.03.11	6702.84	6738.95	6693.80	6721.51	26549	0	0
2015.03.12	6721.51	6799.84	6721.51	6761.07	29566	0	0
2015.03.13	6761.07	6777.77	6713.50	6740.58	30585	0	0
2015.03.16	6740.58	6809.08	6740.58	6804.08	19996	0	0
2015.03.17	6804.08	6846.90	6798.47	6837.61	26728	0	0
2015.03.18	6837.61	6945.20	6837.26	6945.20	25383	0	0
2015.03.19	6945.20	6982.79	6929.73	6962.32	27281	0	0
2015.03.20	6962.32	7024.21	6960.81	7022.51	21966	0	0
2015.03.23	7022.51	7037.67	6991.43	7037.67	20645	0	0
2015.03.24	7037.67	7065.08	7012.51	7019.68	30792	0	0
2015.03.25	7019.68	7035.11	6983.94	6990.97	24447	0	0
2015.03.26	6990.97	6990.97	6876.84	6895.33	39564	0	0
2015.03.27	6895.33	6910.55	6839.88	6855.02	31318	0	0
2015.03.30	6855.02	6914.60	6855.02	6891.43	26916	0	0
2015.03.31	6891.43	6910.07	6765.05	6773.04	36348	0	0
2015.04.01	6773.04	6856.43	6765.40	6809.50	31654	0	0
2015.04.02	6809.50	6849.91	6801.27	6833.46	26406	0	0
2015.04.07	6833.46	6967.69	6833.46	6961.77	27456	0	0
2015.04.08	6961.77	7012.06	6931.59	6937.41	29999	0	0
2015.04.09	6937.41	7016.99	6937.41	7015.36	24437	0	0
2015.04.10	7015.36	7095.36	7015.36	7089.77	20683	0	0
2015.04.13	7089.77	7089.84	7046.68	7064.30	18839	0	0
2015.04.14	7064.30	7086.06	7044.60	7075.26	27567	0	0
2015.04.15	7075.26	7111.72	7058.34	7096.78	22050	0	0
2015.04.16	7096.78	7119.35	7057.74	7060.45	29140	0	0
2015.04.17	7060.45	7093.52	6979.32	6994.63	32171	0	0
2015.04.20	6994.63	7067.84	6994.63	7052.13	26246	0	0
2015.04.21	7052.13	7105.13	7030.00	7062.93	31562	0	0
2015.04.22	7062.93	7092.34	6997.15	7028.24	36527	0	0
